Query,Title,Price,Reviews,ImageUrl
iphone,Apple iPhone 13 (128GB) - Starlight,"60,250",3,https://m.media-amazon.com/images/I/71GLMJ7TQiL._AC_UY218_.jpg
iphone,Apple iPhone 13 (128GB) - Midnight,"60,750",4,https://m.media-amazon.com/images/I/61VuVU94RnL._AC_UY218_.jpg
iphone,Apple iPhone 14 Pro (128 GB) - Deep Purple,"1,22,999",5,https://m.media-amazon.com/images/I/61HHS0HrjpL._AC_UY218_.jpg
iphone,Apple iPhone 13 (128GB) - (Product) RED,"62,999",6,https://m.media-amazon.com/images/I/71gm8v4uPBL._AC_UY218_.jpg
iphone,Apple iPhone 13 (128GB) - Blue,"60,250",7,https://m.media-amazon.com/images/I/71xb2xkN5qL._AC_UY218_.jpg
iphone,Apple iPhone 12 (64GB) - White,"55,990",8,https://m.media-amazon.com/images/I/711wsjBtWeL._AC_UY218_.jpg
iphone,Apple iPhone 13 (128GB) - Pink,"60,250",9,https://m.media-amazon.com/images/I/61l9ppRIiqL._AC_UY218_.jpg
iphone,Apple iPhone 14 Pro Max (128 GB) - Space Black,"1,29,999",10,https://m.media-amazon.com/images/I/610pghkO81L._AC_UY218_.jpg
iphone,Apple iPhone 14 Pro Max (256 GB) - Gold,"1,43,990",11,https://m.media-amazon.com/images/I/71T5NVOgbpL._AC_UY218_.jpg
iphone,Apple iPhone 14 Pro (128 GB) - Gold,"1,22,999",12,https://m.media-amazon.com/images/I/71ZDY57yTQL._AC_UY218_.jpg
iphone,Apple iPhone 14 Plus (128 GB) - Blue,"80,999",13,https://m.media-amazon.com/images/I/61BGE6iu4AL._AC_UY218_.jpg
iphone,Apple iPhone 14 Plus (128 GB) - Midnight,"80,999",14,https://m.media-amazon.com/images/I/61B0+qQriPL._AC_UY218_.jpg
iphone,Apple iPhone 14 Pro (128 GB) - Space Black,"1,22,999",15,https://m.media-amazon.com/images/I/61XO4bORHUL._AC_UY218_.jpg
iphone,Apple iPhone 12 (128GB) - Blue,"59,900",16,https://m.media-amazon.com/images/I/71ZOtNdaZCL._AC_UY218_.jpg
iphone,Apple iPhone 14 Plus (128 GB) - Starlight,"80,999",17,https://m.media-amazon.com/images/I/61b7Ew7kjYL._AC_UY218_.jpg
iphone,Apple iPhone 14 Pro Max (256 GB) - Deep Purple,"1,49,900",18,https://m.media-amazon.com/images/I/71yzJoE7WlL._AC_UY218_.jpg
